# Temperature_MeV relativistic_dofs_MeV entropy_dofs_MeV
0.00492867 3.38308 3.93094
0.0049545 3.38308 3.93094
0.00498046 3.38308 3.93094
0.00500657 3.38308 3.93094
0.0050328 3.38308 3.93094
0.00505918 3.38308 3.93094
0.0050857 3.38308 3.93094
0.00511235 3.38308 3.93094
0.00513914 3.38308 3.93094
0.00516607 3.38308 3.93094
0.00519315 3.38308 3.93094
0.00522037 3.38308 3.93094
0.00524772 3.38308 3.93094
0.00527523 3.38308 3.93094
0.00530287 3.38308 3.93094
0.00533066 3.38308 3.93094
0.0053586 3.38308 3.93094
0.00538668 3.38308 3.93094
0.00541492 3.38308 3.93094
0.00544329 3.38308 3.93094
0.00547182 3.38308 3.93094
0.0055005 3.38308 3.93094
0.00552933 3.38308 3.93094
0.0055583 3.38308 3.93094
0.00558743 3.38308 3.93094
0.00561672 3.38308 3.93094
0.00564615 3.38308 3.93094
0.00567574 3.38308 3.93094
0.00570549 3.38308 3.93094
0.00573539 3.38308 3.93094
0.00576545 3.38308 3.93094
0.00579566 3.38308 3.93094
0.00582604 3.38308 3.93094
0.00585657 3.38308 3.93094
0.00588726 3.38308 3.93094
0.00591812 3.38308 3.93094
0.00594913 3.38308 3.93094
0.00598031 3.38308 3.93094
0.00601165 3.38308 3.93094
0.00604316 3.38308 3.93094
0.00607483 3.38308 3.93094
0.00610667 3.38308 3.93094
0.00613867 3.38308 3.93094
0.00617084 3.38308 3.93094
0.00620318 3.38308 3.93094
0.00623569 3.38308 3.93094
0.00626837 3.38308 3.93094
0.00630122 3.38308 3.93094
0.00633425 3.38308 3.93094
0.00636744 3.38308 3.93094
0.00640082 3.38308 3.93094
0.00643436 3.38308 3.93094
0.00646808 3.38308 3.93094
0.00650198 3.38308 3.93094
0.00653606 3.38308 3.93094
0.00657031 3.38308 3.93094
0.00660474 3.38308 3.93094
0.00663936 3.38308 3.93094
0.00667415 3.38308 3.93094
0.00670913 3.38308 3.93094
0.00674429 3.38308 3.93094
0.00677964 3.38308 3.93094
0.00681517 3.38308 3.93094
0.00685089 3.38308 3.93094
0.00688679 3.38308 3.93094
0.00692288 3.38308 3.93094
0.00695916 3.38308 3.93094
0.00699564 3.38308 3.93094
0.0070323 3.38308 3.93094
0.00706915 3.38308 3.93094
0.0071062 3.38308 3.93094
0.00714344 3.38308 3.93094
0.00718088 3.38308 3.93094
0.00721852 3.38308 3.93094
0.00725635 3.38308 3.93094
0.00729438 3.38308 3.93094
0.0073326 3.38308 3.93094
0.00737103 3.38308 3.93094
0.00740966 3.38308 3.93094
0.0074485 3.38308 3.93094
0.00748753 3.38308 3.93094
0.00752677 3.38308 3.93094
0.00756622 3.38308 3.93094
0.00760587 3.38308 3.93094
0.00764573 3.38308 3.93094
0.0076858 3.38308 3.93094
0.00772608 3.38308 3.93094
0.00776657 3.38308 3.93094
0.00780728 3.38308 3.93094
0.00784819 3.38308 3.93094
0.00788933 3.38308 3.93094
0.00793067 3.38308 3.93094
0.00797223 3.38308 3.93094
0.00801402 3.38308 3.93094
0.00805602 3.38308 3.93094
0.00809824 3.38308 3.93094
0.00814068 3.38308 3.93094
0.00818334 3.38308 3.93094
0.00822623 3.38308 3.93094
0.00826934 3.38308 3.93094
0.00831268 3.38308 3.93094
0.00835624 3.38308 3.93094
0.00840004 3.38308 3.93094
0.00844406 3.38308 3.93094
0.00848831 3.38308 3.93094
0.0085328 3.38308 3.93094
0.00857752 3.38308 3.93094
0.00862247 3.38308 3.93094
0.00866766 3.38308 3.93094
0.00871309 3.38308 3.93094
0.00875875 3.38308 3.93094
0.00880465 3.38308 3.93094
0.0088508 3.38308 3.93094
0.00889718 3.38308 3.93094
0.00894381 3.38308 3.93094
0.00899068 3.38308 3.93094
0.0090378 3.38308 3.93094
0.00908517 3.38308 3.93094
0.00913278 3.38308 3.93094
0.00918064 3.38308 3.93094
0.00922876 3.38308 3.93094
0.00927712 3.38308 3.93094
0.00932574 3.38308 3.93094
0.00937462 3.38308 3.93094
0.00942375 3.38308 3.93094
0.00947314 3.38308 3.93094
0.00952278 3.38308 3.93094
0.00957269 3.38308 3.93094
0.00962286 3.38308 3.93094
0.00967329 3.38308 3.93094
0.00972399 3.38308 3.93094
0.00977495 3.38308 3.93094
0.00982618 3.38308 3.93094
0.00987768 3.38308 3.93094
0.00992944 3.38308 3.93094
0.00998148 3.38308 3.93094
0.0100338 3.38308 3.93094
0.0100864 3.38308 3.93094
0.0101392 3.38308 3.93094
0.0101924 3.38308 3.93094
0.0102458 3.38308 3.93094
0.0102995 3.38308 3.93094
0.0103535 3.38308 3.93094
0.0104077 3.38308 3.93094
0.0104623 3.38308 3.93094
0.0105171 3.38308 3.93094
0.0105722 3.38308 3.93094
0.0106276 3.38308 3.93094
0.0106833 3.38308 3.93094
0.0107393 3.38308 3.93094
0.0107956 3.38308 3.93094
0.0108522 3.38308 3.93094
0.010909 3.38308 3.93094
