# Temperature_MeV comoving_wavenumber Horizon_mass_solar kappa_QCD gamma_QCD delta_QCD phi_QCD
0.00207602 16.663 6.25612e+10 4.20721 0.377779 1877.39 522.01
0.00208225 16.7129 6.21878e+10 4.20721 0.377779 1866.19 518.898
0.00208849 16.763 6.18166e+10 4.20721 0.377779 1855.05 515.805
0.00209475 16.8133 6.14476e+10 4.20721 0.377779 1843.98 512.729
0.00210103 16.8637 6.10807e+10 4.20721 0.377779 1832.98 509.673
0.00210733 16.9143 6.07161e+10 4.20721 0.377779 1822.04 506.634
0.00211365 16.965 6.03537e+10 4.20721 0.377779 1811.16 503.614
0.00211998 17.0158 5.99934e+10 4.20721 0.377779 1800.36 500.612
0.00212634 17.0669 5.96353e+10 4.20721 0.377779 1789.61 497.627
0.00213272 17.118 5.92793e+10 4.20721 0.377779 1778.93 494.661
0.00213911 17.1694 5.89254e+10 4.20721 0.377779 1768.32 491.712
0.00214552 17.2208 5.85737e+10 4.20721 0.377779 1757.76 488.781
0.00215196 17.2725 5.8224e+10 4.20721 0.377779 1747.27 485.867
0.00215841 17.3242 5.78765e+10 4.20721 0.377779 1736.85 482.97
0.00216488 17.3762 5.7531e+10 4.20721 0.377779 1726.48 480.091
0.00217137 17.4283 5.71875e+10 4.20721 0.377779 1716.18 477.229
0.00217788 17.4805 5.68462e+10 4.20721 0.377779 1705.94 474.385
0.00218441 17.5329 5.65068e+10 4.20721 0.377779 1695.76 471.557
0.00219096 17.5855 5.61695e+10 4.20721 0.377779 1685.64 468.746
0.00219753 17.6382 5.58342e+10 4.20721 0.377779 1675.58 465.952
0.00220412 17.6911 5.55009e+10 4.20721 0.377779 1665.58 463.174
0.00221072 17.7442 5.51696e+10 4.20721 0.377779 1655.64 460.413
0.00221735 17.7974 5.48403e+10 4.20721 0.377779 1645.76 457.669
0.002224 17.8507 5.45129e+10 4.20721 0.377779 1635.94 454.941
0.00223067 17.9042 5.41875e+10 4.20721 0.377779 1626.18 452.229
0.00223736 17.9579 5.3864e+10 4.20721 0.377779 1616.47 449.533
0.00224406 18.0118 5.35425e+10 4.20721 0.377779 1606.83 446.854
0.00225079 18.0658 5.32229e+10 4.20721 0.377779 1597.24 444.191
0.00225754 18.1199 5.29052e+10 4.20721 0.377779 1587.71 441.543
0.00226431 18.1742 5.25894e+10 4.20721 0.377779 1578.23 438.911
0.0022711 18.2287 5.22754e+10 4.20721 0.377779 1568.82 436.295
0.00227791 18.2834 5.19634e+10 4.20721 0.377779 1559.45 433.695
0.00228474 18.3382 5.16532e+10 4.20721 0.377779 1550.15 431.11
0.00229159 18.3932 5.13448e+10 4.20721 0.377779 1540.9 428.54
0.00229846 18.4483 5.10383e+10 4.20721 0.377779 1531.7 425.986
0.00230535 18.5036 5.07337e+10 4.20721 0.377779 1522.56 423.447
0.00231226 18.5591 5.04308e+10 4.20721 0.377779 1513.48 420.923
0.00231919 18.6148 5.01298e+10 4.20721 0.377779 1504.45 418.415
0.00232614 18.6706 4.98305e+10 4.20721 0.377779 1495.47 415.921
